0.12,-4.2929,NaN,NaN
0.08,-4.4296,NaN,NaN
0.13,-4.4591,NaN,NaN
0.95,NaN,-0.78744,-0.068458
0.89,NaN,-0.32606,-0.080467
1.27,NaN,-1.0055,-0.077616
1.078,NaN,-0.6262,-0.039271
1.09,NaN,-0.60802,-0.025097
1.13,-0.78661,NaN,NaN
1.098,NaN,-0.65992,-0.039576
1.04,NaN,-0.92105,-0.065577
0.95,NaN,-0.51921,-0.035947
1.21,NaN,-1.0804,-0.08109
0.97,NaN,-0.48947,-0.031664
1.14,-0.54773,NaN,NaN
1.14,NaN,-0.99461,-0.079406
1.37,-1.2513,NaN,NaN
1,NaN,-0.76972,-0.04906
0.93,-0.43619,NaN,NaN
0.88,NaN,-0.30385,-0
0.99,NaN,-0.18687,-0.33344
0.15,NaN,-0.026214,-0.010051
0.452,NaN,-0.091721,-0.0081472
0.81,NaN,-0.27386,-0
0.73,NaN,-0.24103,-0
1.22,NaN,-0.87349,-0.063716
1.386,NaN,-1.1268,-0.082563
1.013,NaN,-0.54007,-0
1.218,NaN,-0.8262,-0.060185
0.857,NaN,-0.36758,-0.027076
0.77,NaN,-0.26779,-0
0.842,NaN,-0.33348,-4.9228e-05
1.36,-1.1654,NaN,NaN
0.756,-0.23497,NaN,NaN
0.947,-0.59888,NaN,NaN
0.916,NaN,-0.49901,-0.021587
1.13,NaN,-0.75369,-0.068682
1.191,NaN,-0.94414,-0.070645
1.01,NaN,-0.49046,-0.016734
0.816,NaN,-0.33332,-0.0013734
0.945,NaN,-0.42854,-0.016617
1.025,NaN,-0.61579,-0.034674
1.207,NaN,-0.7769,-0.036315
0.917,NaN,-0.3639,-0.0078233
1.18,NaN,-0.91872,-0.07032
1.218,NaN,-0.88206,-0.065121
1.176,NaN,-0.89335,-0.077687
1.403,NaN,-1.3013,-0.11236
1.392,NaN,-1.1382,-0.097954
1.236,NaN,-0.93595,-0.065125
1.022,NaN,-0.60772,-0.050448
0.929,NaN,-0.45408,-0.020853
0.886,NaN,-0.4353,-0.0071026
1.26,NaN,-0.97376,-0.07299
1.179,NaN,-0.87291,-0.049935
1.048,NaN,-0.60519,-0.030697
1.163,NaN,-0.70485,-0.045309
1.29,NaN,-1.1111,-0.081997
1.47,NaN,-1.3318,-0.12026
1.28,NaN,-1.0764,-0.084575
1.28,NaN,-0.92964,-0.060466
0.986,NaN,-0.62124,-0.037174
0.882,NaN,-0.42996,-0.029303
1.3,NaN,-1.0014,-0.077705
1.275,NaN,-0.97637,-0.066343
1.148,NaN,-0.73337,-0.042711
0.98,-0.54675,NaN,NaN
0.85,NaN,-0.29089,-0.012434
1.282,NaN,-1.0461,-0.084382
0.895,-0.60045,NaN,NaN
0.895,-0.37659,NaN,NaN
1.16,NaN,-0.62222,-0.049182
0.912,-0.48985,NaN,NaN
0.912,NaN,-0.4649,-0.017993
0.912,-0.38258,NaN,NaN
1.34,-1.2483,NaN,NaN
1.223,NaN,-0.89615,-0.063144
1.079,-0.70841,NaN,NaN
1.213,NaN,-1.0107,-0.073983
1.32,NaN,-0.76471,-0.049579
0.94,NaN,-0.54233,-0.036971
1.4,NaN,-0.96049,-0.057931
1.19,NaN,-0.88552,-0.06285
0.59,NaN,-0.10798,-0.0015233
1.1,-0.86938,NaN,NaN
1.48,NaN,-1.5865,-0.11244
0.902,-0.26644,NaN,NaN
0.88,-0.42706,NaN,NaN
1.18,NaN,-0.74874,-0.049643
0.82,NaN,-0.34736,-0
0.78,NaN,-0.29603,-0.013926
1.26,NaN,-0.92343,-0.079562
0.98,NaN,-0.59625,-0.037395
1.388,NaN,-1.2252,-0.096499
0.71,NaN,-0.28095,-0.0014959
0.82,NaN,-0.32697,-0
1.35,NaN,-1.1487,-0.11236
1.211,-0.97801,NaN,NaN
1.18,NaN,-1.0324,-0.07507
1.24,-0.90983,NaN,NaN
0.84,NaN,-0.37699,-0.015775
1.01,NaN,-0.60632,-0.024016
1.1,NaN,-0.70405,-0.039741
1.129,NaN,-0.7456,-0.05434
1,NaN,-0.53247,-0.019558
1.12,NaN,-0.83597,-0.061281
1.08,NaN,-0.67791,-0.039883
0.825,NaN,-0.31553,-0
1.495,NaN,-1.4343,-0.14299
1.01,NaN,-0.50743,-0.014005
1.02,NaN,-0.57589,-0.043288
0.849,NaN,-0.56338,-0.026674
1.216,NaN,-0.88006,-0.036973
0.93,NaN,-0.43322,-0.0070358
0.93,NaN,-0.61912,-0.05104
0.95,NaN,-0.51385,-0.023953
1.084,NaN,-0.5671,-0.019487
1,NaN,-0.62292,-0.04779
0.861,NaN,-0.43142,-0.024281
0.87,NaN,-0.33742,-0.014903
1.01,NaN,-0.62792,-0.02536
0.94,NaN,-0.67054,-0.027805
0.888,NaN,-0.43725,-0.015261
1.22,NaN,-0.92938,-0.061851
1.25,NaN,-0.86049,-0.049208
1.32,NaN,-1.0117,-0.066049
1.3,NaN,-1.3527,-0.10791
0.87,NaN,-0.38261,-0
1.276,NaN,-1.0212,-0.063339
1.572,NaN,-1.5214,-0.13472
2.02,NaN,-1.5454,-0.14174
1.56,NaN,-1.265,-0.098392
0.58,NaN,-0.16765,-0
1.2,NaN,-0.78704,-0.053464
1.213,-1.0171,NaN,NaN
1.32,NaN,-0.87423,-0.051856
0.88,NaN,-0.54543,-0.019905
