30	0.97	0.089	2205	2.897	0.487	12.21	0.12
20	0.92	0.1	2300	3.53	0.26	25	0.08
30	1.3	0.11	2350	4.48	0	26.67	0.13
1.03	1.49	1.11	6298	0.0254	0	460	0.95
2.75	0.97	0.79	5075	0.1055	0.53	345	0.89
2.49	1.39	1.37	6440	0.04351	0	560	1.27
0.917	1.44	1.116	5675	0.04016	0.07	1150	1.078
1.308	0.885	1.01	5945	0.051	0	1310	1.09
7.6	1.09	1.21	6035	0.027	0	1340	1.13
0.535	1.17	1.19	5650	0.0618	0.33	840	1.098
2.45	1.02	1.59	5740	0.0461	0	920	1.04
3.47	1.31	1	5440	0.0295	0.08	870	0.95
1.11	1.45	1.65	6090	0.0518	0.047	800	1.21
3.31	1.465	0.902	5575	0.0281	0	300	0.97
4.24	0.84	0.92	5880	0.0902	0.562	1230	1.14
2.8	1.05	1.61	5900	0.0477	0.16	600	1.14
21.66	1.01	1.56	6740	0.057	0	680	1.37
0.467	1.388	1.186	6100	0.04947	0.09	400	1
0.0151	0.15	0.87	5313	0.0172	0	150	0.93
0.22	0.57	0.77	5080	0.063	0	380	0.88
0.84	1.05	0.94	5625	0.407	0.11	460	0.99
0.0197	0.254	0.216	3026	0.01411	0.27	13	0.15
0.0737	0.365	0.464	3684	0.02887	0.15	10.2	0.452
0.081	0.452	0.75	4780	0.053	0.198	38	0.81
0.211	0.959	0.7	4650	0.0384	0	142.5	0.73
0.85	1.28	1.56	5638	0.0426	0.0142	214	1.22
2.2	1.2	1.468	6600	0.0594	0.095	205	1.386
1.946	1.072	1.08	5568	0.0964	0.19	190	1.013
4.193	1.289	1.237	6158	0.0413	0.036	235	1.218
0.534	1.01	0.837	5246	0.0882	0.346	90	0.857
0.197	0.995	0.749	4803	0.0559	0.084	166	0.77
0.292	1.132	0.82	4990	0.0466	0.067	215	0.842
8.74	0.951	1.64	6290	0.0674	0.5171	118	1.36
7.246	0.867	0.694	4595	0.0361	0.015	70	0.756
4.063	1.024	1.105	5588	0.0494	0.228	254	0.947
2.147	1.08	1.04	5302	0.0414	0.016	82	0.916
2.09	1.368	1.203	5905	0.0232	0.106	393	1.13
0.685	1.242	1.317	6373	0.0465	0.067	306	1.191
0.567	1.19	0.959	5500	0.0466	0.032	297	1.01
0.059	0.565	0.788	5079	0.0479	0.124	134	0.816
0.66	1.055	0.898	5300	0.0403	0.078	204	0.945
0.626	1.212	1.103	5680	0.0434	0.051	395	1.025
0.778	1.107	1.224	6087	0.0667	0.095	322	1.207
0.591	0.827	0.799	5224	0.03866	0	130	0.917
0.711	1.34	1.33	6250	0.0419	0.035	193	1.18
2.171	1.07	1.36	6065	0.055	0.245	354	1.218
0.941	2.037	1.387	6001	0.0344	0.163	320	1.176
0.763	1.827	1.777	6401	0.0503	0.148	419	1.403
3.328	1.107	1.535	6442	0.0677	0.441	257	1.392
1.054	1.332	1.435	6096	0.0498	0.025	535	1.236
1.832	1.264	1.096	5580	0.0238	0.063	317	1.022
1.169	1.178	0.877	5500	0.0379	0.058	411	0.929
0.267	0.825	0.923	5330	0.0523	0.067	249	0.886
0.68	1.27	1.59	5890	0.0446	0	310	1.26
0.975	1.277	1.528	5743	0.0575	0	447	1.179
0.66	1.283	1.104	5645	0.0443	0	543	1.048
1.06	1.252	1.137	5960	0.04079	0	340	1.163
1.057	1.33	1.46	6570	0.05235	0	200	1.29
1.8	1.421	1.84	6350	0.0379	0	320	1.47
1.34	1.5	1.58	6200	0.0449	0	230	1.28
0.67	1.4	1.32	6350	0.053	0	480	1.28
1.855	1.302	1.038	5870	0.0444	0.12	303	0.986
1.345	1.168	0.898	5227	0.023	0	360	0.882
0.356	0.718	1.497	6147	0.04288	0	78.9	1.3
3.191	1.095	1.508	6079	0.1623	0.6768	78.24	1.275
0.714	1.38	1.146	6075	0.04747	0.0004	47	1.148
3.94	0.921	0.98	5645	0.449	0.93366	58.4	0.98
0.02	0.262	0.73	5170	0.0797	0.13	21.1	0.85
1.418	1.333	1.482	6304	0.04117	0	178	1.282
0.0143	0.127	1.056	5627	0.01684	0	173	0.895
0.063	0.199	1.056	5627	0.2407	0	173	0.895
2.45	1.312	1.05	5781	0.02591	0.011	800	1.16
0.027	0.17	0.944	5466	0.04537	0.32	290	0.912
0.051	0.27	0.944	5466	0.093	0.4	290	0.912
0.06	0.25	0.944	5466	0.3453	0.6	290	0.912
0.033	0.1459	1.86	6131	0.042507	0	108	1.34
0.077	0.357	1.487	5857	0.0456	0	550	1.223
0.026	0.196	1.243	5793	0.0617	0	135	1.079
0.603	1.419	1.486	6213	0.0483	0	1330	1.213
3.23	1.2	1.2	6041	0.0449	0.025	1950	1.32
0.49	0.841	0.966	5660	0.029	0	730	0.94
0.68	1.32	1.51	6050	0.084	0.287	1330	1.4
